assignment_id,num,max_grade,description
20,1,22,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec
20,2,45,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet
21,1,28,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed
21,2,55,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis
22,1,24,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet
22,2,49,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et
23,1,19,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum
23,2,37,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel
24,1,27,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet
24,2,54,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio
25,1,17,non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui
25,2,34,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius
26,1,33,platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis
26,2,64,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus
27,1,20,mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a
27,2,41,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit
28,1,24,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing
28,2,47,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi
29,1,33,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia
29,2,65,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis
30,1,17,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor
30,2,35,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse
